episode,agent,avg_reward,avg_reward_10s,avg_progress,avg_progress_10s,wrong_way_count,wrong_way_percentage,right_way_percentage,collision_occurred,collision_count,opponent_collision_count,most_frequent_rank
88,C,-25.85,-51.61,0.12,0.24,0,0.00,100.00,Yes,538,21,3
88,A,-16.28,-32.49,0.12,0.25,0,0.00,100.00,Yes,0,463,1
88,B,-14.17,-28.29,0.12,0.24,0,0.00,100.00,Yes,0,442,2
89,C,-46.76,-93.34,0.13,0.27,0,0.00,100.00,Yes,0,863,2
89,A,-42.07,-83.97,0.14,0.29,0,0.00,100.00,Yes,139,712,1
89,B,14.93,29.80,0.13,0.25,0,0.00,100.00,Yes,0,151,3
90,C,-27.24,-54.37,0.17,0.34,0,0.00,100.00,Yes,437,142,1
90,A,12.73,25.40,0.14,0.27,0,0.00,100.00,Yes,6,167,2
90,B,27.53,54.94,0.11,0.23,0,0.00,100.00,Yes,0,25,3
91,C,-19.44,-38.80,0.15,0.30,0,0.00,100.00,Yes,459,36,1
91,A,-23.68,-47.27,0.12,0.24,0,0.00,100.00,Yes,0,537,2
91,B,-20.08,-40.08,0.11,0.22,0,0.00,100.00,Yes,0,501,3
92,C,-56.08,-111.93,0.11,0.21,0,0.00,100.00,Yes,0,861,3
92,A,-56.08,-111.94,0.12,0.23,0,0.00,100.00,Yes,0,861,2
92,B,30.03,59.94,0.12,0.25,0,0.00,100.00,No,0,0,1
93,C,-44.46,-88.75,0.13,0.26,0,0.00,100.00,Yes,0,914,2
93,A,-45.07,-89.96,0.14,0.27,0,0.00,100.00,Yes,294,706,1
93,B,9.23,18.42,0.12,0.25,0,0.00,100.00,Yes,0,208,3
94,C,-46.08,-91.98,0.09,0.18,0,0.00,100.00,Yes,761,0,3
94,A,30.02,59.91,0.11,0.22,0,0.00,100.00,No,0,0,2
94,B,10.83,21.62,0.13,0.25,0,0.00,100.00,Yes,192,0,1
95,C,-30.34,-60.56,0.17,0.34,0,0.00,100.00,Yes,485,119,1
95,A,18.12,36.17,0.12,0.25,0,0.00,100.00,Yes,0,119,3
95,B,30.03,59.94,0.12,0.24,0,0.00,100.00,No,0,0,3
96,C,-27.64,-55.17,0.16,0.33,0,0.00,100.00,Yes,530,47,1
96,A,-32.78,-65.44,0.11,0.23,0,0.00,100.00,Yes,0,628,2
96,B,-28.08,-56.06,0.11,0.21,0,0.00,100.00,Yes,206,581,3
